"Section","Page or component","URL","Content type","Owner class","Proposed role","Assigned today","Same content also appears at","Note"
"Home page","Government of India top bar","/","Template part","Ministry","R3 Navigation & structure","No","—","Statutory GoI band; not editable per page"
"Home page","Masthead, search and Admin Login","/","Template part","Ministry","R3 Navigation & structure","No","—","Carries the BETA flag"
"Home page","Primary navigation (7 items, 44 links)","/","Menu","Ministry","R3 Navigation & structure","No","Footer, organisation rails","Directory is listed twice in this menu"
"Home page","SAMAVESH banner","/","Section","Ministry","R2 Homepage editor","No","—","Links to /samavesh-citizen-portals/"
"Home page","Hero photograph carousel","/","Section","Ministry","R2 Homepage editor","No","—","Named on the call as having no owner"
"Home page","Latest Updates ticker","/","Query over updates","Ministry","R2 Homepage editor","No","/updates","9 update records; sitemap unchanged since 7 Jul 2026"
"Home page","About Us block","/","Section","Ministry","R2 Homepage editor","No","/about-us/","Restates the About page"
"Home page","Three statistics counters","/","Section","Ministry","R2 Homepage editor","No","/dashboard/","Rs 67,977 Cr; 19.82 Cr; Rs 8,731 Cr - no source shown"
"Home page","Our Offerings (tabbed)","/","Query","Ministry","R2 Homepage editor","No","/schemes-services/, /vacancies/, /tenders/","NIC: tabs not keyboard reachable"
"Home page","Our Organisations (tabbed)","/","Query","Ministry","R2 Homepage editor","No","Associated Organisations menu","NIC: tabs not keyboard reachable"
"Home page","Recent Documents","/","Query over documents","Ministry","R8 Documents librarian","No","/documents/*","NIC: newest not shown first"
"Home page","Explore User Personas","/","Section","Ministry","R2 Homepage editor","No","/home-page/for-*","Four persona pages sit under /home-page/"
"Home page","Activity Corner (tabbed)","/","Section","Ministry","R2 Homepage editor","No","—","NIC: tabs not keyboard reachable"
"Home page","Organisation logo carousel","/","Section","Ministry","R2 Homepage editor","No","Associated Organisations menu","Mixed sizes and plates; e-Anudaan shown as text"
"Home page","Explore our Social Media Platforms","/","Section","Ministry","R2 Homepage editor","No","Footer social row","Same five handles as the footer"
"Home page","Need Support? strip","/","Section","Ministry","R2 Homepage editor","No","/contact-us/","—"
"Home page","Important Links rail (10 divisions)","/","Menu","Ministry","R3 Navigation & structure","No","Footer division block","Four links in it all read SECC 2011"
"Home page","Footer, four columns","/","Template part","Ministry","R3 Navigation & structure","No","Primary navigation","Third naming of the same pages"
"Home page","Footer policy bar","/","Template part","Ministry","R13 Statutory & policy pages","No","—","No Accessibility Statement link"
"Associated Organisations","NCSC — National Commission for Scheduled Castes","/organisation/national-commission-for-scheduled-castes/","Organisation tree (27 pages)","Commissions","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","No directory page, though office holders are published"
"Associated Organisations","NCSK — National Commission for Safai Karamcharis","/organisation/national-commission-for-safai-karamcharis/","Organisation tree (24 pages)","Commissions","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/ncsk-directory"
"Associated Organisations","NCBC — National Commission for Backward Classes","/organisation/national-commission-for-backward-classes-ncbc/","Organisation tree (18 pages)","Commissions","R5 Organisation editor","Yes (stated: 12 of 18)","Contact Us page, Directory page, Documents, Tenders","/ncbc-directory; gazette-notifications now redirects to a -2 duplicate"
