Area,GIGW 3.0 clause,Annexure II S/N,WCAG 2.1,Checkpoint (GIGW 3.0 wording),Result,Where in the tracker,Tracker issues,Note,GIGW page
Quality,5.1.1,1,,"Association to government is demonstrated by the use of emblem/logo in proper ratio and colour, prominently displayed on the homepage of the website or homescreen of the app.",Passes,Resolved & Withdrawn,,"Passes: the masthead emblem renders at 32×52 px, the file's own proportions, monochrome on white. Its missing alt text is ACC-04.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=32
Quality,5.1.2,2,,"Ownership information is displayed on the homepage/homescreen and on all important entry pages/screens of the website/app and each subsequent page/ screen is a standalone entity in terms of ownership, navigation and context of content.",Fails — tracked,Issues,MAN-10,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=33
Quality,5.1.3,3,,"Source of all documents, not owned by the dept. that have been reproduced in part or full, is mentioned.",Fails — tracked,Issues,CON-27,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=33
Quality,5.1.4,4,,Due permissions have been obtained for publishing any content protected by copyright.,Waiting on the Department,Dependencies,,DEP-12,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=34
Quality,5.1.5,5,,Homepage/homescreen of the website/app displays the last updated/ reviewed date.,Fails — tracked,Issues,MAN-05,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=34
Quality,5.1.6,6,,"Complete information including title, size, format and usage instructions is provided for all downloadable material.",Fails — tracked,Issues,"DOC-02, DOC-03 + 21 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=35
Quality,5.1.7,7,,"In respect of each circular, notification, document, form, scheme, service and recruitment notice, the following should be clearly listed on the website/app: (a) Complete title; (b) Language (if other than English); (c) Purpose/procedure to apply (as applicable); and (d) Validity (where applicable).",Fails — tracked,Issues,"CON-18, CON-19",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=35
Quality,5.1.8,8,,"All outdated Announcements, Tenders, Recruitment notices, News and Press Releases are removed from the website/app and/or placed into the archives as per the archival policy",Fails — tracked,Issues,MAN-06,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=36
Quality,5.1.9,9,,All information about the government organisation which is useful to users is present in the ‘About us’ section and a mechanism is in place to keep the information up to date.,Fails — tracked,Issues,CON-12,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=37
Quality,5.1.10,10,,Website/app has a ‘Contact us’ page providing complete contact details of important functionaries in the government organisation and this is linked from the homepage/ homescreen and all relevant places on the website/app.,Fails — tracked,Issues,"CON-08, CON-09, CON-23, CON-24, CON-26, MAN-07 + 230 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=37
Quality,5.1.11,11,,Feedback is collected through online forms and a mechanism is in place to ensure timely response to feedback/queries received through the website.,Fails — tracked,Issues,MAN-03,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=38
Quality,5.1.12,12,,Website/app provides a prominent link to the ‘National Portal’ from the homepage and webpages belonging to the ‘National Portal’ load in the new browser window.,Passes,Resolved & Withdrawn,,Withdrawn row “National Portal link missing”: the top-bar link opens india.gov.in in a new window.,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=38
Quality,5.1.13,13,,The website has been tested on multiple browsers. Hindi/Regional language fonts have been tested on popular browsers for any inconsistency (loss of layout).,Passes,Resolved & Withdrawn,,"Passes: Home and Tenders are identical in Chromium, Firefox and WebKit — same layout, 277 tenders listed in each, no script errors; the Devanagari language list renders the same in all three.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=39
Quality,5.1.14,14,,The website/app has a readily available Help section linked from all pages of the website.,Passes,Resolved & Withdrawn,,"Passes: a Help link is on all 16 pages sampled. Faults on the Help page itself are CON-T112–T116, MOB-T032–T034, LAY-T074–T077, TYP-T035.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=39
Quality,5.1.15,15,,Website uses Cascading Style Sheets (CSS) to control layouts/styles and incorporates responsive design features to ensure that the interface displays well on different screen sizes.,Fails — tracked,Issues,PRF-01,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=40
Quality,5.1.16,16,,Website is readable even when style sheets are switched off or not loaded.,Passes,Resolved & Withdrawn,,"Passes: with every style sheet removed, Home and Tenders read top to bottom in a logical order with headings intact.",https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=41
Quality,5.1.17,17,,Proper page title and language attribute along with metadata for page like keywords and description are appropriately included.,Fails — tracked,Issues,"ACC-03, DUP-03, DUP-04, LNG-03, SEO-01, SEO-02, SEO-05, SEO-06 + 121 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=41
Quality,5.1.18,18,,Minimum content as prescribed in the guidelines is present on the homepage/homescreen and all subsequent pages/screens.,Fails — tracked,Issues,"CON-06, CON-07, CON-13, CON-14, CON-15, DUP-01, DUP-02, MAN-08 + 654 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=42
Quality,5.1.19,19,,Data tables have been provided with necessary tags/markup,Fails — tracked,Issues,"ACC-16, NAV-14 + 194 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=43
Quality,5.1.20,20,,Content of the web page prints correctly on an A4 size paper,Fails — tracked,Issues,LAY-04,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=43
Quality,5.1.21,24,,"Website is in the nic.in or gov.in domain. Educational Institutions and Research and Academic Institutions, which are eligible for registration under ‘gov.in’ may use ‘edu.in’, ‘res.in’ or ‘ac.in’ domains",Passes,Resolved & Withdrawn,,Passes: www.dosje.gov.in.,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=43
Quality,5.1.22,21,,"API integration with key government platforms (India Portal, DigiLocker, Aadhaar, Single-Sign-On, MyGov, Data Platform, MyScheme) and similar websites of the government organisation must be enabled for seamless exchange of Information and data.",Waiting on the Department,Dependencies,,DEP-11,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=44
Quality,5.1.23,22,,The government organisation must ensure a consistent user experience and visual identities across all its websites/apps.,Fails — tracked,Issues,"BRD-10, BRD-18, BRD-20, LAY-07, LAY-08, LAY-14, NAV-07 + 62 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=45
Quality,5.1.24,23,,Websites/apps must provide integration with popular social media.,Fails — tracked,Issues,BRD-12,,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=45
Quality,5.1.25,25,,The language is free from spelling and grammatical errors.,Fails — tracked,Issues,"CON-01, CON-03, CON-10, CON-11, CON-22, CON-23, CON-25 + 91 page-level",,https://cdnbbsr.s3waas.gov.in/s3c92a10324374fac681719d63979d00fe/uploads/2026/07/2026072438.pdf#page=46
