"#","Title as listed on the site","URL","Is it a scheme of this Department?","What it actually is","Administered by","Where it should go","Comment","Source of validation"
"1","Pre-matric scholarship to the children of those engaged in occupations involving cleaning and prone to health hazards","https://www.dosje.gov.in/schemes-and-services/10663/","Yes — but already listed under another name","A duplicate listing","Department of Social Justice & Empowerment","Delete; 301 to Pre-Matric Scholarships Scheme for Scheduled Castes & Others","Empty page. The Department's own Pre-Matric Scholarship for Scheduled Castes & Others already carries this component (children in unclean occupations, Class I–X).","Annual Report 2025-26, ch.3 §3.2 and Notes on Demands for Grants 2026-27, Demand No.93 27 place children in hazardous cleaning occupations inside the Pre-Matric SC scheme; this page duplicates it and is empty."
"2","TERM LOAN","https://www.dosje.gov.in/schemes-and-services/2998/","No","A corporation s loan product or activity","NSFDC","Organisation → NSFDC → Loan schemes","An NSFDC lending product, not a Department scheme. Title is shouted (""TERM LOAN"") and the record carries no scheme name.","The record's own text names NSFDC as the lender. NSFDC's lending is reported in Annual Report 2025-26, ch.3 §3.34 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"3","Aajeevika Microfinance Yojana","https://www.dosje.gov.in/schemes-and-services/aajeevika-microfinance-yojana/","No","A corporation s loan product or activity","NSFDC","Organisation → NSFDC → Loan schemes","NSFDC micro-finance product routed through NBFC-MFIs.","The record's own text names NSFDC as the lender. NSFDC's lending is reported in Annual Report 2025-26, ch.3 §3.34 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93."
"4","Ashram shalas","https://www.dosje.gov.in/schemes-and-services/ashram-shalas/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory (name the State)","Ashram Shala is a State residential-school programme; 100% grant to NGOs to start schools. No line in the Demand for Grants.","Record's own text: Ashram Shala is a State residential-school programme; 100% grant to NGOs to open schools. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"5","Assistance for Skill Development of OBCs/DNTs/EBCs","https://www.dosje.gov.in/schemes-and-services/assistance-for-skill-development-of-obcs-dnts-ebcs/","No","A corporation s loan product or activity","NBCFDC","Organisation → NBCFDC → Grants to NGOs","NBCFDC grant to NGOs for skill development — the record itself says ""NGOs seeking grants from NBCFDC"".","The record's own text names NBCFDC as the lender. NBCFDC's lending is reported in Annual Report 2025-26, ch.3 §3.36 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93. The record itself says ""NGOs seeking grants from NBCFDC""."
"6","Assistance to Students of DNTs studying in Self Financed Institutes","https://www.dosje.gov.in/schemes-and-services/assistance-to-students-of-dnts-studying-in-self-financed-institutes/","No","A State Government scheme","A State Government — not named on the page","DWBDNC → State schemes directory","A State DNT scholarship for self-financed institutes; not in the Annual Report or Demand for Grants.","Record's own text: a State DNT scholarship for self-financed institutes, benefit stated in State rupee terms. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"7","Atal Vayo Abhyuday Yojana (AVYAY)","https://www.dosje.gov.in/schemes-and-services/atal-vayo-abhyuday-yojana-avyay/","Yes","A scheme of this Department","Department of Social Justice & Empowerment","Stays","Umbrella scheme for senior citizens. Central Sector + Centrally Sponsored components.","Annual Report 2025-26, ch.3 §3.14 (AVYAY, components A–F); Notes on Demands for Grants 2026-27, Demand No.93 18 and 31."
"8","Award of stipend to VJNT and SBC students studying in ITI","https://www.dosje.gov.in/schemes-and-services/award-of-stipend-to-vjnt-and-sbc-students-studying-in-iti/","No","A State Government scheme","Government of Maharashtra (inferred)","DWBDNC → State schemes directory (Maharashtra)","Maharashtra (VJNT/SBC categories, ITI stipend).","Record's own text: VJNT/SBC are the category names used by Maharashtra, not by the Union. Not in Annual Report 2025-26, ch.3; no line in Notes on Demands for Grants 2026-27, Demand No.93."
"9","Awareness Camp: NBCFDC","https://www.dosje.gov.in/schemes-and-services/awareness-camp-nbcfdc/","No","A corporation s loan product or activity","NBCFDC","Organisation → NBCFDC → Activities; or delete","Empty page. An NBCFDC outreach activity, not a scheme.","The record's own text names NBCFDC as the lender. NBCFDC's lending is reported in Annual Report 2025-26, ch.3 §3.36 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93. An outreach activity; the page is empty."
"10","Awareness Camps","https://www.dosje.gov.in/schemes-and-services/awareness-camps/","No","A corporation s loan product or activity","NSKFDC","Organisation → NSKFDC → Activities","NSKFDC outreach activity run with its State Channelising Agencies.","The record's own text names NSKFDC as the lender. NSKFDC's lending is reported in Annual Report 2025-26, ch.3 §3.35 as the corporation's activity, not as a Department scheme; no scheme line in Notes on Demands for Grants 2026-27, Demand No.93. The record describes camps run with State Channelising Agencies."
